Day,StartTime,EndTime,Course,Groups,Room
MONDAY,09:00,09:50,Computer Architecture,CSE 2.4,B425
FRIDAY,14:00,14:50,Computer Architecture,CSE 2.4,B213
WEDNESDAY,14:00,14:50,Computer Architecture,CSE 2.4,B210
THURSDAY,14:00,14:50,Design and Analysis of Algorithms,CSE 2.2,A303
THURSDAY,13:00,13:50,Design and Analysis of Algorithms,CSE 2.2,B320
MONDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.2,B412
TUESDAY,09:50,11:30,Design and Analysis of Algorithms,CSE 2.2,Basic Electronics Lab-2
MONDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.2,Basic Electronics Lab-2
THURSDAY,15:00,15:50,Design and Analysis of Algorithms,CSE 2.8,C201
FRIDAY,11:00,11:50,Design and Analysis of Algorithms,CSE 2.8,C103
TUESDAY,12:00,12:50,Design and Analysis of Algorithms,CSE 2.8,B321
WEDNESDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.8,Physics LAB - 2
FRIDAY,11:50,13:30,Design and Analysis of Algorithms,CSE 2.8,Microprocessor and Microcontrollers Lab
