Day,StartTime,EndTime,Course,Group,Room
THURSDAY,15:00,15:50,Programming using C,ECE 1.8,D111
TUESDAY,10:00,11:40,Programming using C,ECE 1.8,Electronics and Instrumentation
TUESDAY,15:00,16:40,Programming using C,ECE 1.8,Isaac Asimov Laboratory
MONDAY,15:00,16:40,Programming using C,ECE 1.8,Isaac Asimov Laboratory
WEDNESDAY,15:00,16:40,Programming using C,ECE 1.8,Food Chemistry Lab
MONDAY,13:20,15:00,Programming using C,ECE 1.8,Physics LAB - 1
MONDAY,11:50,13:20,Programming using C,ECE 1.8,Physics LAB - 1
